product_name,category,description,audience,hook_type
ผ้าไหมมัดหมี่ สุรินทร์,textile,ผ้าไหมทอมือแท้ ลายโบราณ จากช่างทอพื้นบ้านสุรินทร์,คนรักผ้าไทย,story
น้ำพริกเผาแม่ประนอม,food,น้ำพริกเผาสูตรโบราณ รสเข้มข้น กลิ่นหอม,คนชอบทำอาหาร,process
สมุนไพรขมิ้นชัน,herb,ขมิ้นชันบดผง 100% จากสวนออร์แกนิค,คนรักสุขภาพ,transformation
เครื่องเงินเชียงใหม่,craft,เครื่องประดับเงินแท้ ทำมือ ลายล้านนา,ผู้หญิงรักแฟชั่น,contrast
กาแฟดอยช้าง,food,เมล็ดกาแฟคั่วกลาง จากดอยช้าง เชียงราย,คอกาแฟ,story
Pop Mart Labubu,global,ฟิกเกอร์ Blind Box จากจีน ลิมิเต็ดอิดิชั่น,วัยรุ่นชอบสะสม,question
เซรามิกลำปาง,craft,ถ้วยชามเซรามิก ลายไก่ เคลือบเงา,คนชอบของแต่งบ้าน,process
ผ้าบาติกปัตตานี,textile,ผ้าบาติกย้อมสีธรรมชาติ ลายดอกไม้ใต้,คนรักงาน handmade,story
ยาหม่องขาวตราถ้วยทอง,herb,ยาหม่องสูตรดั้งเดิม บรรเทาปวดเมื่อย,ผู้สูงอายุ,transformation
K-Beauty Serum,global,เซรั่มบำรุงผิวจากเกาหลี วิตามินซี,สาวรักผิวสวย,contrast
